"FieldID","Column","Row2","ID2","Easting","Northing","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",19,"N",332,493785.9066,5180989.246,2008,NA,"W W",418.7992126,2,"B",352.034120736667,1.18965517241232
"CookEast",10,"A",6,493479.2349,5180583.999,2008,NA,"W W",406.988189,2,"B",352.034120736667,1.15610438030364
"CookEast",12,"D",77,493551.8335,5180673.461,2008,NA,"W W",406.003937,2,"B",352.034120736667,1.15330848086656
"CookEast",20,"P",379,493826.8107,5181052.988,2008,NA,"W W",373.0314961,2,"B",352.034120736667,1.05964585284913
"CookEast",21,"Q",402,493849.7268,5181068.744,2008,NA,"W W",371.0629921,2,"B",352.034120736667,1.05405405397498
"CookEast",20,"O",357,493828.0757,5181021.206,2008,NA,"W W",347.9330709,2,"B",352.034120736667,0.988350419476144
"CookEast",15,"G",158,493638.036,5180761.711,2008,NA,"W W",283.4645669,2,"B",352.034120736667,0.805219012028783
"CookEast",18,"M",306,493757.8431,5180942.048,2008,NA,"W W",278.0511811,2,"B",352.034120736667,0.789841565692979
"CookEast",13,"E",105,493595.2216,5180699.973,2008,NA,"W W",231.7913386,2,"B",352.034120736667,0.65843429641125
"CookEast",13,"F",131,493592.5074,5180731.757,2008,NA,"W W",231.7913386,2,"B",352.034120736667,0.65843429641125
"CookEast",14,"F",132,493624.4237,5180738.724,2008,NA,"W W",138.2874016,2,"B",352.034120736667,0.392823858410712
"CookEast",15,"H",184,493655.169,5180793.474,2008,NA,"W W",29.52755906,2,"B",352.034120736667,0.0838769804421532
"CookEast",20,"M",308,493821.6746,5180957.65,2008,NA,"W W",524.1141732,3,"B",340.506442372727,1.53921955058428
"CookEast",20,"N",333,493817.8143,5180989.435,2008,NA,"W W",470.4724409,3,"B",340.506442372727,1.38168440403547
"CookEast",19,"M",307,493789.7668,5180957.461,2008,NA,"W W",458.6614173,3,"B",340.506442372727,1.3469977663387
"CookEast",19,"L",282,493785.6118,5180925.684,2008,NA,"W W",443.4055118,3,"B",340.506442372727,1.30219419259809
"CookEast",19,"K",259,493764.6632,5180893.925,2008,NA,"W W",430.1181102,3,"B",340.506442372727,1.26317172504238
"CookEast",11,"B",28,493532.5936,5180600.03,2008,NA,"W W",428.6417323,3,"B",340.506442372727,1.25883589547712
"CookEast",18,"K",258,493732.7391,5180878.512,2008,NA,"W W",413.3858268,3,"B",340.506442372727,1.21403232173651
